AÑO;RUC;RAZON SOCIAL O NOMBRE DEL PAGADOR DE LA RENTA;PERIODO TRIBUTARIO;MES;REMUNERACION MENSUAL;Tipo de Trabajo
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201505;5;S/1,000.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201506;6;S/1,000.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201507;7;S/1,000.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201508;8;S/1,000.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201509;9;S/1,500.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201510;10;S/1,500.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201511;11;S/1,500.00;Presencial Lima
2015;20467534026;AMERICA MOVIL PERU S.A.C.               ;201512;12;S/1,500.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201601;1;S/1,500.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201602;2;S/1,500.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201603;3;S/1,500.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201604;4;S/1,500.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201605;5;S/2,815.97;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201606;6;S/2,913.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201607;7;S/3,910.23;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201608;8;S/2,913.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201609;9;S/2,913.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201610;10;S/2,913.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201611;11;S/2,913.00;Presencial Lima
2016;20467534026;AMERICA MOVIL PERU S.A.C.               ;201612;12;S/5,955.38;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201701;1;S/2,913.00;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201702;2;S/2,913.00;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201703;3;S/4,306.44;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201704;4;S/3,289.20;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201705;5;S/3,088.93;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201706;6;S/3,007.05;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201707;7;S/6,152.82;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201708;8;S/3,010.05;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201709;9;S/3,010.05;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201710;10;S/3,010.05;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201711;11;S/3,010.05;Presencial Lima
2017;20467534026;AMERICA MOVIL PERU S.A.C.               ;201712;12;S/6,152.82;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201801;1;S/3,010.05;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201802;2;S/3,010.05;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201803;3;S/3,010.05;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201804;4;S/5,929.56;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201805;5;S/3,404.55;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201806;6;S/3,070.93;Presencial Lima
2018;20467534026;AMERICA MOVIL PERU S.A.C.               ;201807;7;S/6,276.57;Presencial Lima
